family,scope,metric,a,b,n,n_nonzero,size_only,p_raw,p_min_attainable,attainable_below_05
Family 1,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,40,7,False,0.03742805512406306,0.0151862,True
Family 1,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,40,18,False,0.00017779835198083384,0.000135865,True
Family 1,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,40,13,False,0.0023537196640683947,0.001129,True
Family 1,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,40,8,False,0.24821307898992362,0.00937477,True
Family 1,pooled,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,40,12,False,0.0012968957989590631,0.0012969,True
Family 1,pooled,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,40,14,False,0.0032408345715186767,0.00068171,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,40,10,False,0.02446393248159611,0.00492031,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,40,22,False,0.0004970840489182559,3.83916e-05,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,40,20,False,0.0027305441112201526,8.39025e-05,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,40,9,False,0.7196780071859922,0.00710955,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,40,16,False,0.0013185326449949033,0.000383208,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,40,16,False,0.00700666140298928,0.000421524,True
Family 1,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,14,4,False,0.04550026389635839,0.0455003,True
Family 1,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,14,9,False,0.0026997960632601866,0.0026998,True
Family 1,factual,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,14,7,False,0.0081509715935027,0.00815097,True
Family 1,factual,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,14,5,False,0.17971249487899976,0.0253473,True
Family 1,factual,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,14,9,False,0.0026997960632601866,0.0026998,True
Family 1,factual,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,14,8,False,0.0046777349810472576,0.00467773,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,14,5,False,0.039359508888249725,0.0393595,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,14,11,False,0.015841708713670334,0.00319152,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,14,10,False,0.010587137334056945,0.00411742,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,14,6,False,0.6662276454096188,0.0235441,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,14,10,False,0.003580327522366853,0.00358033,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,14,9,False,0.0070583320485281004,0.00705833,True
Family 1,thematic,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,15,1,False,0.31731050786291415,0.317311,False
Family 1,thematic,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,15,3,False,0.4142161782425252,0.10247,False
Family 1,thematic,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,15,3,False,0.4142161782425252,0.10247,False
Family 1,thematic,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,15,0,False,,,
Family 1,thematic,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,15,1,False,0.31731050786291415,0.317311,False
Family 1,thematic,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,15,3,False,0.5637028616507731,0.0832645,False
Family 1,thematic,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,15,2,False,0.17971249487899976,0.179712,False
Family 1,thematic,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,15,4,False,0.4652088184521418,0.0678892,False
Family 1,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,15,4,False,0.7150006546880893,0.0678892,False
Family 1,thematic,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,15,0,False,,,
Family 1,thematic,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,15,3,False,0.5929800980174267,0.108809,False
Family 1,thematic,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,15,4,False,1.0,0.0655997,False
Family 1,comparative,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,11,2,False,0.5,0.5,False
Family 1,comparative,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,11,6,False,0.03125,0.03125,True
Family 1,comparative,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,11,3,False,0.25,0.25,False
Family 1,comparative,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,11,3,False,1.0,0.25,False
Family 1,comparative,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,11,2,False,0.5,0.5,False
Family 1,comparative,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,11,3,False,1.0,0.25,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,11,3,False,0.25,0.25,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,11,7,False,0.015625,0.015625,True
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,11,6,False,0.03125,0.03125,True
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,11,3,False,0.5,0.25,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,11,3,False,0.25,0.25,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,11,3,False,0.5,0.25,False
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,40,6,False,0.338724147759658,0.0255968,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,40,4,False,0.25683925795785656,0.0587817,False
