family,scope,metric,a,b,win,loss,n_nonzero,p_raw_reported,p_holm_reported,p_raw_exact,p_holm_exact,sig_reported,sig_exact
Family 1,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,6,1,7,0.03742805512406306,0.07485611024812612,0.0625,0.125,False,False
Family 1,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,17,1,18,0.00017779835198083384,0.001066790111885003,2.288818359375e-05,0.0001373291015625,True,True
Family 1,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,12,1,13,0.0023537196640683947,0.009414878656273579,0.00146484375,0.005859375,True,True
Family 1,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,5,3,8,0.24821307898992362,0.24821307898992362,0.3359375,0.3359375,False,False
Family 1,pooled,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,12,0,12,0.0012968957989590631,0.006484478994795316,0.00048828125,0.00244140625,True,True
Family 1,pooled,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,12,2,14,0.0032408345715186767,0.00972250371455603,0.002685546875,0.008056640625,True,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,8,2,10,0.02446393248159611,0.04892786496319222,0.021484375,0.04296875,True,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,19,3,22,0.0004970840489182559,0.0029825042935095357,0.00015115737915039062,0.0009069442749023438,True,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,17,3,20,0.0027305441112201526,0.01092217644488061,0.001617431640625,0.0064697265625,True,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,5,4,9,0.7196780071859922,0.7196780071859922,0.7421875,0.7421875,False,False
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,14,2,16,0.0013185326449949033,0.006592663224974517,0.00048828125,0.00244140625,True,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,13,3,16,0.00700666140298928,0.02101998420896784,0.00469970703125,0.01409912109375,True,True
Family 1,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,4,0,4,0.04550026389635839,0.09100052779271678,0.125,0.25,False,False
Family 1,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,9,0,9,0.0026997960632601866,0.01619877637956112,0.00390625,0.0234375,True,True
Family 1,factual,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,7,0,7,0.0081509715935027,0.024452914780508102,0.015625,0.046875,True,True
Family 1,factual,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,4,1,5,0.17971249487899976,0.17971249487899976,0.375,0.375,False,False
Family 1,factual,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,9,0,9,0.0026997960632601866,0.01619877637956112,0.00390625,0.0234375,True,True
Family 1,factual,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,8,0,8,0.0046777349810472576,0.01871093992418903,0.0078125,0.03125,True,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,5,0,5,0.039359508888249725,0.07871901777649945,0.0625,0.125,False,False
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,10,1,11,0.015841708713670334,0.047525126141011,0.0126953125,0.0390625,True,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,9,1,10,0.010587137334056945,0.04234854933622778,0.009765625,0.0390625,True,True
