family,scope,metric,a,b,win,loss,tie,n_nonzero,W,p_raw,p_holm,r,testable
Family 1,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,6,1,33,7,2.0,0.03742805512406306,0.07485611024812612,,True
Family 1,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,17,1,22,18,1.5,0.00017779835198083384,0.001066790111885003,-0.8622530501121414,True
Family 1,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,12,1,27,13,3.0,0.0023537196640683947,0.009414878656273579,-0.8237687232252389,True
Family 1,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,5,3,32,8,10.0,0.24821307898992362,0.24821307898992362,,True
Family 1,pooled,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,12,0,28,12,0.0,0.0012968957989590631,0.006484478994795316,-0.8831760866327847,True
Family 1,pooled,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,12,2,26,14,7.0,0.0032408345715186767,0.00972250371455603,-0.7633862853691146,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,8,2,30,10,5.5,0.02446393248159611,0.04892786496319222,-0.7091242083423347,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,19,3,18,22,19.5,0.0004970840489182559,0.0029825042935095357,-0.7406218879643297,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,17,3,20,20,25.0,0.0027305441112201526,0.01092217644488061,-0.6678270969037458,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,5,4,31,9,19.5,0.7196780071859922,0.7196780071859922,,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,14,2,24,16,6.5,0.0013185326449949033,0.006592663224974517,-0.795022323367342,True
Family 1,pooled,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,13,3,24,16,16.0,0.00700666140298928,0.02101998420896784,-0.6722139969935249,True
Family 1,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,4,0,10,4,0.0,0.04550026389635839,0.09100052779271678,,True
Family 1,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,9,0,5,9,0.0,0.0026997960632601866,0.01619877637956112,,True
Family 1,factual,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,7,0,7,7,0.0,0.0081509715935027,0.024452914780508102,,True
Family 1,factual,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,4,1,9,5,3.0,0.17971249487899976,0.17971249487899976,,True
Family 1,factual,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,9,0,5,9,0.0,0.0026997960632601866,0.01619877637956112,,True
Family 1,factual,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,8,0,6,8,0.0,0.0046777349810472576,0.01871093992418903,,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,5,0,9,5,0.0,0.039359508888249725,0.07871901777649945,,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,10,1,3,11,6.0,0.015841708713670334,0.047525126141011,-0.7238059665785859,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,9,1,4,10,3.0,0.010587137334056945,0.04234854933622778,-0.7897065047448726,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,4,2,8,6,8.5,0.6662276454096188,0.6662276454096188,,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,10,0,4,10,0.0,0.003580327522366853,0.021481965134201118,-0.8864052604279182,True
Family 1,factual,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,9,0,5,9,0.0,0.0070583320485281004,0.0352916602426405,,True
Family 1,thematic,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,0,1,14,1,0.0,0.31731050786291415,1.0,,True
Family 1,thematic,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,2,1,12,3,1.5,0.4142161782425252,1.0,,True
Family 1,thematic,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,2,1,12,3,1.5,0.4142161782425252,1.0,,True
Family 1,thematic,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,0,0,15,0,,,,,False
Family 1,thematic,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,1,0,14,1,0.0,0.31731050786291415,1.0,,True
Family 1,thematic,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,2,1,12,3,2.0,0.5637028616507731,1.0,,True
Family 1,thematic,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,0,2,13,2,0.0,0.17971249487899976,0.8985624743949988,,True
Family 1,thematic,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,2,2,11,4,3.0,0.4652088184521418,1.0,,True
Family 1,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,2,2,11,4,4.0,0.7150006546880893,1.0,,True
Family 1,thematic,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,0,0,15,0,,,,,False
Family 1,thematic,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,1,2,12,3,2.0,0.5929800980174267,1.0,,True
Family 1,thematic,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,2,2,11,4,5.0,1.0,1.0,,True
Family 1,comparative,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_bm25,2,0,9,2,0.0,0.5,1.0,,True
Family 1,comparative,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_dense,6,0,5,6,0.0,0.03125,0.1875,,True
Family 1,comparative,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,3,0,8,3,0.0,0.25,1.0,,True
Family 1,comparative,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,1,2,8,3,2.0,1.0,1.0,,True
Family 1,comparative,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,2,0,9,2,0.0,0.5,1.0,,True
