condition_id,chunk_size,retrieval_strategy,indexing_representation,breakdown_type,breakdown_value,metric,value,n_scored
chunk200_bm25,200,bm25,text_only,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.125,40
chunk200_bm25,200,bm25,text_only,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.064375,40
chunk200_bm25,200,bm25,text_only,category,factual,anchor_coverage_at_5,0.21428571428571427,14
chunk200_bm25,200,bm25,text_only,category,factual,mean_reciprocal_rank_at_5,0.10952380952380951,14
chunk200_bm25,200,bm25,text_only,category,thematic,anchor_coverage_at_5,0.06666666666666667,15
chunk200_bm25,200,bm25,text_only,category,thematic,mean_reciprocal_rank_at_5,0.01944444444444444,15
chunk200_bm25,200,bm25,text_only,category,comparative,anchor_coverage_at_5,0.09090909090909091,11
chunk200_bm25,200,bm25,text_only,category,comparative,mean_reciprocal_rank_at_5,0.06818181818181818,11
chunk200_bm25,200,bm25,text_only,chunk_size_sensitive,True,anchor_coverage_at_5,0.21428571428571427,7
chunk200_bm25,200,bm25,text_only,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.04642857142857143,7
chunk200_bm25,200,bm25,text_only,chunk_size_sensitive,False,anchor_coverage_at_5,0.10606060606060606,33
chunk200_bm25,200,bm25,text_only,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.06818181818181818,33
chunk200_bm25_enriched,200,bm25,metadata_enriched,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.2375,40
chunk200_bm25_enriched,200,bm25,metadata_enriched,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.15333333333333335,40
chunk200_bm25_enriched,200,bm25,metadata_enriched,category,factual,anchor_coverage_at_5,0.5,14
chunk200_bm25_enriched,200,bm25,metadata_enriched,category,factual,mean_reciprocal_rank_at_5,0.3416666666666667,14
chunk200_bm25_enriched,200,bm25,metadata_enriched,category,thematic,anchor_coverage_at_5,0.03333333333333333,15
chunk200_bm25_enriched,200,bm25,metadata_enriched,category,thematic,mean_reciprocal_rank_at_5,0.008333333333333333,15
chunk200_bm25_enriched,200,bm25,metadata_enriched,category,comparative,anchor_coverage_at_5,0.18181818181818182,11
chunk200_bm25_enriched,200,bm25,metadata_enriched,category,comparative,mean_reciprocal_rank_at_5,0.11136363636363637,11
chunk200_bm25_enriched,200,bm25,metadata_enriched,chunk_size_sensitive,True,anchor_coverage_at_5,0.14285714285714285,7
chunk200_bm25_enriched,200,bm25,metadata_enriched,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.03571428571428571,7
chunk200_bm25_enriched,200,bm25,metadata_enriched,chunk_size_sensitive,False,anchor_coverage_at_5,0.25757575757575757,33
chunk200_bm25_enriched,200,bm25,metadata_enriched,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.1782828282828283,33
chunk200_dense,200,dense,text_only,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.08333333333333334,40
chunk200_dense,200,dense,text_only,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.043194444444444445,40
